o_n,o_d,a_n,a_d,period
56105,32416,25727,58559,145880
23944,1127,72991,84431,3344554
85593,15154,76373,21787,554428
63767,49679,11504,8609,25817
18014,11081,716,291,1637
14785,22223,32,8741,5837
17713,3764,66356,84807,711358
74024,9373,9527,1518,87229
3028,3295,6399,74915,74725
27229,68385,31388,93699,49806
7237,7201,11573,32942,44737
26813,6955,11675,93569,405738
12418,41567,1177,4022,1553
11017,44989,1488,13871,3761
14755,34051,41361,5867,20465
20329,13813,74545,50987,184750
29072,6373,41239,6577,218124
88613,80151,22367,54418,84892
57861,57734,50927,69881,121074
5211,4372,6762,49327,66853
42771,22153,59108,87811,283658
16733,70275,20503,18168,9207
7766,3975,18822,77101,187406
40997,54636,775,11518,9224
1674,32515,85663,58709,7433
65365,81901,14749,56551,56905
91475,46516,3347,17691,41371
501,4850,4079,43734,4939
26885,20088,88987,60373,199897
92658,5285,68093,30477,1728155
3041,3867,18170,1381,15375
8905,3959,82931,95347,401002
97103,59289,18684,20323,63885
6616,6417,34271,7800,43375
18185,37293,80404,89401,82802
34973,5821,56715,43609,602754
4021,2244,711,878,2848
46353,57953,71864,32335,83342
83823,54599,88369,55901,221490
23468,15901,6921,14116,31048
52682,26857,18658,32619,100584
99357,29695,14425,78689,311551
93983,65303,2961,1840,6910
1521,84835,31693,7526,703
2862,2003,7209,87250,134968
4029,3911,10094,16953,27863
1009,2707,18364,24283,15896
73599,25438,94670,89337,532382
87895,39366,82393,97537,401742
777,36226,41678,42403,1803
43163,12022,22384,53911,273925
41808,74989,15752,3687,10838
28092,14815,42102,57743,189325
11956,30431,5102,16383,8441
16696,55553,4313,4062,2517
28298,96867,277,2518,816
1201,1558,2200,3581,4456
30698,77037,70356,58541,51363
1043,1503,79357,60212,96853
2859,566,12749,2306,76047
36238,48719,9719,9799,14518
86797,68253,1462,67097,87186
8463,5470,49470,15943,101205
1821,1003,32639,8869,75360
20519,15427,53670,70751,165488
3513,3053,74413,89939,189115
13839,14704,85026,28819,107148
3497,35640,25544,76505,10013
38803,89299,9219,32222,18007
59539,26005,62691,31069,214666
29593,17251,98999,26019,214460
1761,932,99531,37504,258926
76826,36207,163,770,1979
18390,11893,26459,35408,95664
49053,58960,28407,20918,41037
99721,77647,25800,63629,114852
8435,93859,56597,93901,13525
49625,87398,55478,53073,61636
3843,5330,16732,91017,77688
1736,1011,15370,96473,192047
88345,67452,34799,38702,96267
5495,5174,7633,19118,28411
40964,40399,12113,10063,22486
55247,66642,42027,95806,114265
8115,7456,38787,39842,85579
16098,11171,14709,39569,78218
47337,76930,32703,38806,44001
57376,29449,11463,43255,106608
5825,16191,16709,17768,12404
9759,5377,29574,94163,224577
13631,7081,99,16339,31643
71450,92883,25911,4166,23136
98641,17745,17360,36593,299914
1724,73415,1473,1288,65
4787,5487,29515,1949,27450
63240,2507,35735,97661,3364963
3616,14287,7125,7367,3668
81526,16023,1015,14347,78163
1550,1099,30170,9491,55936
21208,18345,83906,78027,187205
85837,48035,51121,19871,126860
1352,1035,19155,24751,57353
27515,69707,11010,70961,32355
13610,21493,60728,14651,47732
38724,15217,99307,67190,423700
12466,10891,449,122,653
5615,4728,20005,46666,79179
6294,16891,53265,86696,52153
43911,86384,11333,12672,12202
3984,16919,70337,21935,21728
74812,57027,66632,61595,168217
79909,97456,81493,6764,72367
66948,48749,65836,98317,225434
28653,2975,75507,90983,1603508
36299,23942,92555,43194,205812
4456,21,8158,25535,7149333
34350,857,77044,8879,3443938
43143,38927,80408,89269,188054
51257,41111,14519,20805,44042
75750,21083,71320,50717,438472
13609,71881,44945,67524,21294
67291,71738,53903,99721,144101
90186,98525,32249,40730,66802
10533,41071,33031,79005,28733
93839,15927,47011,17157,378066
8165,7703,28067,24866,56108
16083,26614,13274,9585,13814
48555,34274,945,21043,31150
60170,39169,44894,2871,73375
28276,19649,48404,16823,93866
46132,89533,85285,28424,58589
65066,44667,99051,67219,242204
33253,21376,9507,62674,112287
82917,93676,86524,42033,113792
30033,17246,90926,81525,300314
3278,17299,55735,37207,17612
1874,35129,59954,2981,3358
34952,84987,57947,10681,28224
78353,25537,86269,70688,481577
65493,48434,7628,16763,32982
50875,49359,91571,21128,116160
77265,52633,172,491,973
46696,28725,31196,895,52167
234,9653,6342,73561,1937
17773,96333,16939,17585,6370
24003,3296,22865,81626,760952
15428,65745,80965,87396,39508
37532,29165,13333,90218,133259
4673,90,15837,3575,1007914
84713,53327,98729,58767,250191
527,19637,13477,6287,530
48377,99286,55625,93078,72456
2602,86075,1355,652,60
18038,45883,82917,98224,71212
19927,18576,72018,41881,122182
16823,25011,84856,22909,72486
17014,17877,65049,52373,111753
26640,22111,50050,34607,101997
106,83803,31403,25080,71
39673,23708,84947,48447,223222
32626,24389,18246,39347,77044
2353,9667,29966,58849,21618
32987,13961,97,254,830
27127,10293,46000,46097,242720
70811,38410,46996,83745,241028
32477,164,19928,35585,10993266
49917,35692,98144,82393,252490
57584,43349,35799,41842,103137
13835,18521,53809,99808,114750
12363,10513,10846,78239,104761
29839,20395,31769,74028,154787
47123,74590,40589,25985,42059
6740,2563,9928,77693,230419
61575,19702,11159,42140,166576
397,47892,86893,78165,1368
40599,23356,8738,8569,30084
39187,19632,32101,30417,124791
69197,46153,11050,59571,105882
