o_n,o_d,a_n,a_d,period
74544,17113,29763,19067,212703
24171,15961,85089,32813,178548
81477,43247,76499,11520,165827
16597,16321,14948,71375,87783
476,14571,61609,88369,4899
30564,4597,32387,6272,257031
1381,49972,89229,89681,4944
34069,10627,75715,86081,518701
18091,11608,25539,89060,178602
45959,29902,84333,65254,229913
14769,2486,24069,28790,314028
50507,37574,73217,19225,124261
70417,3354,22247,93172,2423214
87875,26582,13867,10532,80658
87449,77342,71697,71342,161731
3301,1820,10001,27973,68875
64943,85857,7889,104,6046
11061,7618,12288,22891,51078
8057,50732,1523,2409,624
13535,59327,15063,76115,20802
1152,45385,19345,49189,1740
88619,47945,12728,92795,195043
41025,25142,41261,7413,79423
81700,28737,19743,11131,87775
80849,46848,48037,43997,158829
33023,1399,26685,11137,892777
44229,1724,53029,27772,2072940
14981,6192,22340,65271,211967
23925,15629,13639,15951,45296
34827,49099,70068,19699,63673
14357,2991,20965,32619,257207
49273,13781,5785,3218,32189
28904,25739,9279,20314,33231
2506,48389,69511,43594,5857
1875,17771,14947,41018,5905
66401,81468,19766,2209,17911
45830,25051,25461,24919,92169
11985,27386,76391,75939,66665
10389,1519,93520,63111,1071257
40493,41882,15037,46484,59481
20054,99021,36148,43963,16224
1479,16234,81383,7103,8062
7559,33711,84099,74428,35546
92266,23669,9459,14347,92800
12275,9413,15707,9901,33394
22429,14852,59179,43730,155410
19723,11606,7685,88436,163346
46441,30995,44952,87709,198771
29331,66635,12914,27389,17740
60391,6340,22885,32183,524544
10334,8763,5563,8967,17135
2243,10917,3601,4362,1636
38479,20128,21348,40081,117435
14490,11419,44966,39649,107372
35569,21200,91247,48939,235202
26401,99012,9461,4293,3667
45136,85089,86148,98077,97723
6596,35967,8576,2787,2084
24581,21330,56144,69831,145176
66265,22493,1993,62391,189677
19361,11902,53113,7805,99095
2515,1748,47562,10231,83152
53551,31890,3817,6543,17397
23936,17087,65218,31997,136182
9433,1842,28494,7085,182202
32356,12829,16759,8092,62676
20009,38002,82593,75575,83280
6251,4129,92349,86113,270178
2617,1826,39179,47085,123632
9469,7383,12876,8417,27309
3287,5711,19234,14851,19618
25634,16525,27424,11397,60220
21289,16339,51188,80759,171921
957,488,28886,81603,216676
51626,36649,10287,41483,72926
54947,38447,78953,18974,139953
13691,9499,32119,46069,112693
7612,5493,2779,1810,6360
16867,87433,2848,31375,6602
44235,80869,17071,25751,23423
9433,8697,99614,44277,156069
4612,9397,4843,1217,2974
24481,20599,69850,91073,191250
76919,39759,25537,25522,98780
83915,68071,52001,20726,89655
5502,3685,53816,4841,87580
17069,13045,47441,80833,167843
45565,37188,31469,48635,98148
2499,1907,17972,8709,34964
63727,31970,12582,55403,135517
10607,6113,10926,88153,171918
35015,21272,7311,17618,41035
23359,98493,11701,2167,3289
53257,32776,5735,94708,163207
61997,75913,11413,13764,20561
1641,643,26548,41615,173959
79165,22986,6653,2717,32271
17173,10974,46532,31331,121847
63425,60999,20127,10960,32323
34293,62056,39129,15518,30199
9177,4595,61910,72697,268833
4034,2973,10079,13565,32082
3658,8457,48553,19472,29424
22523,98387,2256,16405,4272
17834,39025,98113,53009,69061
82028,54607,10692,18481,43823
95341,72431,95291,6590,134106
92013,71243,72156,89477,208755
189,134,4409,24460,40718
16441,14313,3281,38630,48142
11837,71135,2286,293,429
55831,81268,19489,34155,36853
15585,88241,461,28103,5045
24505,8071,39847,36642,232234
25949,21704,49425,3989,63861
29021,53646,7013,41706,26355
21845,14743,47564,10027,85334
6786,3701,24668,15707,74030
44034,26747,9549,7078,27373
2983,3020,82733,10916,92502
65077,34190,91185,94658,353732
10831,15979,4097,3084,4868
8410,1449,22875,22688,264448
17852,21251,14222,30613,37664
17951,1448,50294,38971,1106627
26263,29452,57899,67967,112237
1761,1235,4546,72479,109831
75654,88333,54092,20527,63908
22664,37845,95985,12791,65142
9413,12008,749,6100,5369
23888,41453,22123,13510,20534
78693,899,95846,23799,10472996
5706,3697,47925,43441,141016
61763,56853,10254,52195,67842
87443,97979,70928,10189,72394
5604,27211,24221,5828,6189
77918,39533,17674,25951,85983
25802,21239,80484,74179,187891
81193,45599,35185,17429,93683
21076,89687,78477,72854,35562
11555,92332,21271,5415,3339
16075,11079,95153,35252,189210
33004,22643,3473,68445,104827
55187,38075,18831,66374,123499
31519,62587,765,45796,23449
8768,93495,15364,1963,1625
44551,33625,71217,41360,149158
13891,39147,30148,12023,14964
53271,10615,82933,67051,752690
22675,16461,74773,96603,236070
19943,4304,1923,5420,34025
2651,3275,53483,33438,70359
85300,43239,16273,19745,71055
11443,9527,22642,96983,143683
42440,89431,10719,29798,19227
15047,9286,15703,159,25703
64952,40915,11891,27366,62320
24706,14405,21697,51777,126015
11159,5396,40777,45736,178910
15376,20505,46623,40352,65219
4548,4133,94780,76567,188552
19202,10095,80637,14507,180977
1501,1414,26675,46312,77478
737,1248,89701,10346,59082
34087,81921,12056,75791,36553
91644,40559,16803,91261,244173
74125,82638,3645,1151,4302
49748,25201,22211,65717,173574
3671,2795,92396,51861,189470
60172,45293,77515,86239,217548
72891,80758,91132,96875,169692
2624,2209,12273,6461,22253
41989,54230,3026,611,2816
82388,86647,73741,66412,133264
3658,3289,31803,29813,68529
96552,71743,47884,8907,76430
5483,25239,40851,87022,27779
89962,62439,20755,16853,54185
65891,5160,62927,11169,946174
425,49118,67439,56788,1075
7876,6213,11341,2027,16946
13647,15007,20973,36359,52136
23749,17955,2845,5913,11585
12971,50416,17853,84541,26344
10553,63533,27865,27408,9181
4018,3669,69906,35671,115620
24565,592,9713,24033,1400288
47242,10485,34993,31447,299357
7751,8394,45383,39450,78335
10749,15031,86969,60793,105668
38907,85249,13568,47689,27957
51500,29857,18701,41026,103023
8985,5489,64033,43778,176477
34504,47019,13329,2128,11343
2633,1344,48544,17241,128878
6643,3883,43777,29021,124542
6604,84011,12917,20126,2598
17585,8071,32882,10381,94261
35256,24821,73213,42310,164090
56259,95197,60043,97041,92832
43823,38635,10395,25262,40445
60701,57279,80695,51896,140512
97247,13615,96959,10558,767954
9467,35450,26360,43089,18547
26268,21979,29246,3883,39594
26351,15630,43432,30331,124359
6772,6719,65695,74164,140963
34108,31539,13122,60775,79916
3593,55250,31322,75193,6926
13540,6533,2507,2677,10744
28583,27428,92607,57284,156203
11046,10363,15193,19286,36752
678,629,68561,34609,111208
16682,17951,2119,11382,12547
25969,95580,31957,74113,28819
98318,66577,80900,58629,206050
9971,32746,5905,8223,4302
6964,4781,41029,22651,92756
13717,77390,5165,33257,6810
95752,37267,1767,575,6018
27524,89003,21557,27982,15320
33339,94186,47359,61305,38464
7379,4520,91694,98411,310351
36983,64526,8180,11069,11033
81624,18925,33219,2000,151901
13604,9261,4162,6285,15346
31681,20694,44930,42937,134518
15600,9497,20339,17310,61843
29391,25009,19563,92059,131180
58661,33041,32519,30567,112003
31033,14304,16162,61941,169447
83791,86740,95297,1748,93746
1628,11041,28681,23071,7631
12109,16788,189,548,532
63007,48485,80359,75221,202178
1091,156,13870,29787,305320
29018,27155,31240,22183,57088
85601,34836,27624,11191,95379
36093,95597,831,3716,1716
19865,1758,61897,97707,1803489
718,24841,86322,85313,4961
18913,16298,86306,20073,123447
66223,38358,83854,63217,253910
33173,41067,51641,40483,74416
401,4522,4033,13800,1581
83423,42313,187,66864,132195
1775,31973,86215,73032,8841
11449,10592,30343,95977,136541
2668,1987,19921,35378,74252
3753,26164,12149,3761,2282
20333,10880,20778,76937,182614
21474,9263,5570,24813,70435
2872,74079,2278,8671,425
27150,25561,82252,35705,125290
75588,15953,83516,3911,414243
32165,9833,14451,11846,86021
85295,9907,66281,85730,1308749
14253,12172,28751,24225,62033
58191,53339,49545,8242,63043
37798,37751,28334,36681,65096
61838,96769,3451,550,2557
5751,4750,95344,38415,161947
71471,36944,46070,65177,215215
53822,46635,8101,5242,15399
8612,32259,85590,72113,42101
95694,82109,78777,86266,192349
11977,17643,95331,50879,99255
85305,17299,14651,15878,150545
7349,24308,8495,11786,6132
93993,58861,47515,36882,134770
9038,15041,1267,15839,10279
38034,26437,30215,11908,60601
40725,42203,60088,23637,80793
30313,30825,40100,42117,80851
99389,35519,43037,47110,252248
9954,8843,19576,23377,48349
78089,42008,6171,4064,19026
82479,66622,1793,2819,5709
30033,20875,83667,99106,262957
45751,19542,2828,94951,228916
7711,6385,4103,12770,20378
288,889,70876,17509,28633
17552,16563,75895,56682,140493
38548,86995,5675,2216,3496
60339,42424,121,45840,65370
12125,9169,35487,30481,87235
4130,2879,36689,40999,111446
1569,32272,15,45667,2221
5805,5324,10047,48041,63336
39449,18512,75281,82202,335596
10565,6046,13322,45513,102811
13355,303,24602,89167,5014472
95641,43125,28217,24057,115931
59856,81335,9049,31623,29931
60661,47752,39835,45752,108724
76465,40856,58101,87070,271698
8351,7899,4976,1617,6970
11357,18308,44383,31184,46877
49031,30503,16327,48455,104132
16748,4827,72841,73934,509258
35800,21571,6486,8665,25145
20964,17539,11138,51349,74690
149,162,12041,33650,42024
3197,131,32619,14725,1155411
28832,67271,87047,17573,44839
46461,99143,97214,22433,56070
15448,15699,26995,40273,66193
89527,55058,15871,49734,106677
24761,16870,6800,14031,30575
36881,21771,78453,24622,174613
933,27391,78774,46279,4260
48995,3689,43108,66159,1451216
42704,27607,55442,10593,102146
78827,20743,81364,62669,547351
5737,22383,29080,27601,14528
69929,60330,13811,36884,58761
17493,17285,17787,24778,43078
50455,71477,22253,27151,34874
82537,811,97087,96827,19734994
10187,5859,75178,23197,171044
43645,28846,92381,11879,157749
32887,22923,26551,62571,127860
6885,541,39703,50301,1145430
48132,75935,4947,5212,6439
83812,35959,120,1051,2729
23136,18247,81595,64356,185057
33992,19197,3439,12438,28113
22116,72889,83291,35233,35963
8000,7943,3485,17701,21339
6425,42001,35487,45991,12464
16774,74577,13571,8631,4994
60201,99334,82309,61564,87194
43451,36254,83713,56914,168544
1913,11325,56731,94340,25518
17279,14290,25537,6625,38889
47225,22362,66869,92042,335595
1103,1087,62057,34235,97709
44497,5436,60967,96274,1287114
7631,37924,67842,63565,26442
29185,16641,29549,72529,179025
98708,88891,32750,22537,61392
3445,83869,12772,8939,892
51587,41715,27443,29710,70678
12484,6765,45540,60823,196280
3499,31060,3758,2065,656
67358,65509,27010,28941,57530
23270,21409,33281,24527,62833
44680,20019,84004,66871,336735
93779,86805,2237,10386,13637
12657,37795,79277,45237,41698
11545,5462,58025,44892,217535
14603,14270,64957,9781,76482
151,10957,3698,68459,994
10929,24076,38611,66783,47842
529,8620,57279,77974,8301
3041,8055,42789,58738,38330
10499,9658,30679,60406,99017
16838,5677,5421,268,16873
68329,37463,8725,9846,33872
5322,3491,35043,60874,146224
7054,3751,72580,40207,212103
31029,36794,4267,5376,8132
16821,90350,33572,85851,22234
65231,96495,12541,254,8649
19087,7461,8817,42052,130134
22132,17895,16957,5925,28299
9988,4075,85213,67356,373953
14981,43364,15161,1727,5834
20313,29501,11698,23677,24357
59810,11153,68725,48256,627332
17558,23949,52847,78959,96633
3679,3106,72227,12578,100450
3125,4421,11429,9333,14676
40659,6554,81142,41275,759438
553,904,12280,20153,19840
19247,16363,11112,15263,31024
10791,8780,2723,1819,5582
88435,53086,97298,23079,200533
6011,3849,80911,15984,151322
89917,75150,55538,72985,153778
5618,4413,67983,29488,124086
2479,2161,49706,69671,136944
27776,27907,64298,52769,116518
49358,29441,12199,19245,52716
54063,33520,9709,622,16663
2943,1730,93061,5566,167780
1148,13575,43212,38953,6949
34077,63913,67917,86885,82537
10598,8667,40839,12802,65592
26653,89959,3950,30309,10150
5593,4738,39624,94087,157840
93968,533,17189,19695,6502656
52822,48959,15015,82807,105540
46327,7272,15099,25871,261003
8120,38797,26881,16690,9120
5478,11965,43137,4295,21716
9829,7309,55432,89407,194776
53273,58813,90159,24617,103965
46525,39202,15833,3303,22711
12843,49034,1748,13405,3969
25689,75005,2261,1269,1209
25724,14413,97595,64664,289596
67927,68776,50912,64391,113880
30594,96827,6674,4739,3606
74539,92934,209,6123,5079
18572,15943,16391,5973,26051
21202,26357,72019,82988,124690
86293,27637,32673,17227,155807
15543,9541,27725,41997,113583
16437,13210,6827,20472,33967
18784,12707,30917,48706,117702
24517,54476,10217,19163,13223
29112,74855,10294,36779,18307
46499,98141,2532,743,1552
24693,16225,64019,16027,121823
21835,17524,33182,44643,96970
81426,82693,60709,32723,92000
14116,48411,17693,45334,18378
8623,1360,62731,82751,922420
53681,30905,63849,86317,260833
70421,17955,8423,19024,107649
441,232,32250,84751,222402
473,31375,28814,11283,605
7938,6337,69981,41164,139225
21019,13244,10209,3436,21656
30217,18376,88089,86561,287190
11062,11887,61981,2791,60277
6275,13906,64937,94967,72156
40388,25701,99023,11941,174375
20799,40010,64522,61993,65768
6533,5183,54993,58885,143539
30937,15723,667,732,2753
13281,72991,2341,4301,1208
58768,37313,40850,7693,76455
5980,6203,89905,20181,106128
37489,19310,95220,88277,356246
67373,4363,787,20613,330456
1283,1244,22334,28513,52441
41569,35182,79145,71396,177871
6126,49849,79777,63439,17600
59228,45629,51201,84232,175797
48899,47315,70693,97310,173627
53653,30692,421,618,1816
34136,24561,26162,36263,86761
17417,18727,67572,35401,95770
29691,16045,40149,45701,158864
93339,49469,25203,24781,94311
14881,12490,28697,95370,147817
20370,15509,3497,3814,9603
78971,47690,28440,48457,127336
57940,471,45883,81256,15639986
3251,2518,86633,61357,191071
70898,74901,24992,61751,82107
52033,95759,30897,28502,32276
15454,67891,47548,54639,23261
29647,63971,70379,35434,49038
5978,32997,15361,84374,18068
30686,29463,3305,84672,91629
20815,12959,24135,5626,47803
30181,81992,10229,28506,14258
23948,19041,86369,95405,228618
21965,8496,9485,10883,52658
48649,32563,21113,5151,39238
808,267,12925,63963,232679
42232,36625,8773,42751,59412
35353,43207,57235,92586,122588
78258,32629,45067,28804,177174
6677,28218,71269,79528,35682
13127,22404,18346,5453,13945
95001,51977,21553,4313,47277
31091,46888,41346,74293,76680
2407,19764,32320,98623,15948
63438,45133,14110,55111,97295
4848,2759,75433,75926,265962
65912,40045,21687,92921,188639
18045,14656,33023,30625,78366
47886,22867,24427,21070,95275
747,1087,88477,10656,68125
45746,4543,42135,53297,960958
62422,12103,31472,3937,182624
72521,66202,11352,47017,63940
94637,49465,2072,7849,18981
77813,63920,9235,28046,45384
12965,7334,2978,2439,9576
35263,25602,7011,10558,24199
57097,43233,5751,12206,23716
31707,17078,23493,8950,60234
30586,99795,4637,69529,22731
39917,20938,25075,44824,133258
30919,72883,69031,44729,48260
68816,33875,3557,3352,14035
99355,56597,243,637,1545
22581,43334,5809,32131,19771
92982,45245,25061,16538,85489
35426,13941,60773,97587,402415
50788,14711,60005,84431,498649
37815,31147,9109,4447,16459
340,16193,65900,39939,2222
4571,6557,173,6429,4602
2205,1103,6159,7082,26470
66875,94512,54148,1349,39269
89957,44990,84990,50177,270265
20381,79915,14953,92996,27531
40981,95078,13737,74150,37881
92,49,81307,10108,171637
44945,67512,5863,8464,9538
83596,71679,2134,931,3574
95573,64198,66254,93481,237801
29601,62759,6660,15019,10225
5957,33030,77505,26794,18811
62362,52307,34037,4208,45596
1022,18951,86768,91211,9598
25754,42283,35186,28221,38621
80873,97566,62147,61517,102505
25301,19392,78842,29685,141597
43948,361,83388,50645,16317125
11383,18182,58979,9667,42977
31422,97447,813,1690,807
8139,4483,31373,95753,230800
6637,31422,41737,37413,16718
2096,1247,38454,22307,102129
9742,7383,22064,23017,59485
10391,2731,44674,9829,207375
83001,8389,10321,37693,475052
6015,3286,89177,92467,332498
1249,2976,91379,58191,62773
2632,1769,54381,6850,91102
30923,14948,22216,26935,101679
55098,40273,3058,259,4538
39325,83288,48723,44653,44088
89749,47450,34841,33760,129755
64235,34474,91868,16871,202612
37799,46902,12065,85169,78362
65824,2491,11566,31569,1139831
1027,5150,43506,68261,22288
10123,14370,51769,27029,55509
7102,30047,258,4211,1056
32115,91577,13501,25892,13815
38709,13843,66259,99523,463574
51751,37889,5493,42358,65358
70899,37621,25227,26758,97969
88763,93596,26804,2219,27524
1413,938,32777,31367,96627
34333,58794,27686,20367,28061
39263,34896,74304,13235,98494
34642,17949,41627,8365,96486
14311,10298,75875,23571,138199
19997,84335,1911,3896,1377
13379,8018,98053,24661,204763
36059,97045,14895,66256,30153
14384,12497,86239,68541,178151
1891,565,473,1251,5770
2367,9322,76914,35761,28610
38911,73279,2041,2216,2260
5761,3683,74225,16006,141140
621,608,68113,35250,105573
40145,35661,32924,24509,64654
69107,37525,94949,70396,304504
7877,678,4063,235,49934
63521,68445,8817,56084,60232
8823,31565,22603,15033,10520
55826,64853,25813,65617,78704
5975,16546,13593,12023,9250
75413,46222,8879,72224,132323
17917,5370,90887,51188,474033
51882,31555,5411,35723,67631
98235,24781,44443,91958,540711
85760,29461,61762,20699,240042
23885,45256,50191,34683,44794
72816,37607,16397,21904,74160
30527,19372,1322,18657,31484
5028,3131,26487,1306,44632
69871,67455,94953,33391,132940
63883,55276,7724,10875,21495
9667,4734,7791,2312,20631
43797,7685,5687,1917,43336
471,13154,54662,10389,2329
25408,89417,26303,2390,8154
32107,19354,26116,35415,102076
65572,18061,2496,33079,129158
4382,3035,60746,20375,117124
26071,21947,5760,15601,25375
12689,10265,55151,44857,123624
25087,25068,34106,29611,63765
27490,551,94015,2097,4795134
39709,33743,75304,28063,121643
18449,86045,58393,93621,32594
73126,2553,13283,9957,665667
9871,7945,1016,23093,29954
1,1,1241,2446,3688
11753,15871,23409,48526,53271
28922,61023,29176,18447,22572
4830,27521,52237,25757,13688
19489,54461,13289,12713,9305
16374,10669,16702,66113,127099
39322,33267,91747,76493,198862
1297,780,31869,24529,93780
72020,37367,24049,20906,86645
76530,83959,27241,38456,59884
6469,3548,1416,12383,25159
98339,14594,23034,31615,368242
18961,19405,8173,57250,63926
16015,13724,93987,39587,155872
95374,92015,84729,86657,177643
57998,58095,4802,16297,21063
63736,70307,48013,19738,61419
24275,19049,1294,579,2387
32592,23629,43301,14595,79858
33737,11487,2990,12801,46378
58056,27523,18147,60002,164845
11843,9664,43911,43202,106755
19889,6168,74021,66218,452207
72938,42041,5615,12343,31156
8082,13607,33907,80746,68099
54409,56232,33949,18911,51146
27948,15367,3526,82177,155868
1319,941,99083,45631,202845
14031,12581,26153,18589,49899
30018,37097,72666,19939,74934
84394,49707,317,26419,45393
48051,28585,75835,51664,214324
12431,6926,72026,69005,253127
14661,7517,239,258,970
65453,19187,31301,70458,347132
1403,977,22569,91879,164350
46495,94313,70812,25727,47593
30154,21683,11839,16025,38750
2216,2817,32057,93738,98957
16631,9995,33703,90816,207191
44887,30192,673,91176,136554
29969,1765,369,82240,1402668
41542,24799,94151,73897,281505
22871,20570,81693,53512,150329
77210,81937,47402,22833,66183
37684,41777,10536,11059,19479
31532,24045,1309,1402,3555
47841,49895,63506,60553,118952
95661,18839,91901,92212,934892
63275,44511,1761,27728,41920
67586,35763,28255,16601,84771
5918,3785,85508,35143,188643
78913,43756,4913,757,10226
24455,18959,81457,95142,227793
15628,9597,85739,25981,181928
23609,19252,20296,38361,71932
2000,3203,63547,70534,83722
4697,9231,509,875,704
12254,42645,93154,69741,46808
39538,21775,96599,22698,216613
36127,19952,4707,229,8937
4990,73331,41477,60057,6909
5773,2907,28988,10065,77556
69687,47666,56419,65966,178925
29941,15076,48379,22780,141322
49754,35849,32244,90371,170174
51629,88420,67894,54321,71362
16229,8264,6011,12836,37012
17946,16795,53001,93046,156056
97152,31325,26291,54822,251566
9579,5554,17270,85671,177543
6855,8128,74429,46504,101992
39120,37229,46889,85565,139182
25931,15836,37449,22976,98944
73914,50969,55589,32505,127751
46077,42584,1704,1373,3329
58261,40930,86386,66199,217194
26057,52881,13415,78002,45046
11747,11459,25910,10111,36927
11209,7426,28681,76025,158046
31220,20241,5517,14398,30717
21077,23180,60178,77659,125332
10253,5309,96786,76649,334946
25503,29162,42509,19625,54338
271,230,20845,54239,88468
41738,28121,10037,30165,59669
3529,83,42761,7277,2127520
60848,31159,55135,36731,179398
9797,3673,38361,30181,182822
74036,37243,47758,82339,258622
5445,4582,45596,16193,73426
4117,2768,32282,17811,74506
19165,11124,46619,5934,90541
27549,84689,84631,65165,48728
927,758,44674,45263,109989
57057,41159,41968,67103,151201
1981,29292,1347,11306,856
61806,37133,31075,27932,98214
31123,12685,28445,91788,294995
22957,13603,34357,34395,116029
81574,65283,60907,3895,80972
33523,29301,5911,6211,13868
28435,4548,27667,67091,592446
39123,22424,193,8340,14887
31071,26633,38366,3873,49278
818,607,70216,71273,190672
96049,77455,41830,51147,115297
75086,42385,10507,26427,65430
4034,1325,79735,49536,393569
25265,10243,5284,1765,17387
49709,8561,1853,91569,542450
53593,93522,33403,1647,20085
41390,43499,8463,9290,16892
81634,49909,40961,72678,185875
10163,6157,44842,2781,78609
24077,58975,78612,76079,63153
44454,67979,60763,40732,66372
25845,15832,54741,56704,181929
40923,51445,8229,4715,10296
871,646,13271,566,18657
21633,15683,23810,86321,151914
40667,12365,7696,15227,75391
2739,46489,65483,41311,6292
21616,12163,29128,46153,133789
6041,4232,23161,19991,61598
41946,8855,57481,68924,598778
941,8872,9640,9809,2063
72319,12172,26858,47367,441002
2395,1401,60353,54973,197149
5583,2804,1739,2330,8102
613,4227,19991,46264,9609
16990,21153,22258,65837,70757
67239,24218,31618,16479,133537
12254,7607,1646,1545,5140
63124,50339,92411,48718,176973
31245,17146,4790,41477,84312
32518,16091,36727,57989,191409
77965,77807,57098,57271,114601
30742,5003,17632,50735,420096
59151,13658,15831,96811,487837
63257,29934,3533,42323,96903
82246,45555,43586,31981,136431
3816,6149,41,89,81
44371,39316,46969,90095,154686
97933,20038,14931,14989,146230
96683,40740,21271,13981,83659
47803,37318,12578,9825,28697
28422,6947,9779,3580,54655
38863,37581,81074,50229,135782
5755,3871,10987,15052,38712
10903,7557,6555,7633,20470
37904,36301,41343,58922,104692
54043,48369,4369,18658,25728
7012,14399,57,3379,1673
14405,35702,19149,19577,15625
99824,61805,96689,94067,308098
54364,57689,98525,32156,123149
23665,12792,39344,40609,147912
15031,8900,17246,54593,121327
70223,83184,18290,41521,50492
401,288,10011,23161,46187
90714,14063,78496,21529,645215
3116,1697,11405,26839,70223
25027,92616,6769,451,1951
3037,1590,6939,6353,25388
9209,55543,57020,25369,13660
15423,2203,2201,95960,687216
3336,1181,24577,93150,332547
15284,4233,48995,45239,340249
7808,6347,92711,4735,119876
29273,29921,3728,16503,19793
136,2929,66463,50623,5437
19677,14984,3739,1891,7394
70398,48737,63073,57301,173874
40013,20818,84329,97864,350182
7825,7282,115,6514,7123
9325,5521,33945,14312,81507
13595,38893,10853,3272,4937
58031,40337,49778,31301,116645
15559,21216,2291,92807,69742
2466,3107,16411,15951,25686
19143,11573,30094,22223,86538
17189,9434,12897,46592,108390
27061,32293,25955,28087,45286
8727,5690,39757,60792,154217
3583,15291,73589,49950,28948
40541,10591,129,349,1829
29785,12058,38121,11617,122860
84499,55063,61293,45344,163644
95109,35846,6752,3987,28493
13051,7840,58498,64175,204210
59149,69509,9096,8473,14951
20228,19521,84799,75563,166170
15017,32530,4618,1335,2748
67570,69251,73653,33380,104435
23405,19078,19797,28409,59140
5905,4284,36293,19468,76860
34448,18101,5042,11167,30847
37529,48389,793,64853,50913
3478,6113,26814,7901,19751
51023,19592,46683,89651,355052
31643,26539,8917,70406,94578
6003,24533,61001,19892,19794
11558,49937,35113,55942,21074
71787,36268,33127,22600,110303
6606,4891,11596,30689,57112
69913,35347,44452,76319,238873
14285,9959,1255,744,2868
79689,49234,9250,25127,55641
13704,9089,93251,32876,190169
24338,25355,43953,30118,71100
6120,51359,96333,94541,22745
10577,12059,83501,58453,124509
5744,11471,55132,82057,68696
