o_n,o_d,a_n,a_d,period
16054,56445,103,20395,5830
13078,7855,313,47152,79026
39019,33593,477,26465,31294
29560,25563,26711,562,31537
8291,32898,33607,50646,21233
25625,14009,57724,42133,182656
77119,62529,39253,54518,115650
94408,11789,70761,7061,623210
39553,92854,46325,3873,21383
14417,13210,1222,2051,3572
70765,68258,72423,1831,76981
6949,11188,93378,28259,75551
36817,33291,28931,88405,129764
63093,18134,99083,37907,476625
75252,22331,6068,89761,322929
6988,10111,28888,53219,56747
89387,79259,22214,23433,51480
16732,2929,79642,17405,554384
3314,80131,975,424,58
4031,3504,86305,75682,186350
38305,25269,1703,14366,24359
8373,27808,4483,21148,7717
3207,21904,70927,28193,14512
24419,16535,634,589,1806
41109,9209,11098,4033,67545
31898,21675,25646,13695,57896
46055,27637,24927,4273,48659
845,504,13611,41635,92625
3094,86911,63203,54161,4179
20216,85199,82575,57877,33327
37257,40783,41441,63334,95717
26982,3617,2279,11631,103765
3641,2278,58502,86605,231929
1927,12425,82830,66997,23237
1235,891,20506,8373,40029
6316,2781,45828,46603,209923
21400,17269,31217,21326,65112
1371,3509,4661,6745,4457
30622,49225,73711,3848,48248
34557,20633,37775,20751,98022
4824,4289,8576,60221,77378
18301,10499,36089,29462,114263
13009,6443,2200,1261,6988
21664,20673,42178,46429,92854
7319,11364,56369,72474,82981
2505,1453,3215,13224,28341
467,382,32098,39437,87453
36635,49808,89341,84654,127978
50191,34987,34567,34560,99167
431,2881,6893,96928,15532
501,3158,3047,63387,10540
13783,5088,59249,37385,261774
1517,1265,22108,845,27526
25647,6649,43773,63427,413500
24263,35557,68200,51783,81873
5676,28819,42975,36764,15705
43311,51808,46536,9035,46457
4055,22532,42871,56983,17971
2691,52783,20275,49573,3561
71632,23285,64855,37291,314233
67977,68599,23681,54699,77670
93353,3449,83687,40992,3374647
35377,3449,87998,44293,1356932
9989,8418,10913,8388,22903
22052,7029,1739,16228,56367
7479,6289,9543,8909,21943
8651,57501,4121,72505,11529
5626,5757,88111,85265,169431
32389,23749,79057,37948,159572
25464,44545,5773,53672,33982
70638,47453,98030,78461,262723
46208,56109,98647,5340,85637
24462,8101,20322,49601,211141
12974,82037,36779,52170,14067
83047,16054,22352,53027,389934
15137,13023,86428,87719,202416
6458,14029,84627,24104,50052
7573,4102,16342,34907,94615
20072,8831,77519,38199,263016
1045,948,9737,46307,61779
28448,86623,23383,35475,19330
3888,2105,6899,6063,23941
154,109,63959,7484,100938
1473,1130,12322,4123,21437
49129,28218,9709,2778,21740
87343,8142,8427,14545,246431
21493,3561,2078,2035,24825
41893,58540,94243,4196,70446
37703,23572,11118,41099,83521
18719,43309,44894,25301,30340
7250,4667,60667,53031,176625
7505,2588,16531,27512,127721
2319,1187,299,1966,4425
39429,40004,7600,27993,35081
9745,6204,12799,83548,151338
40697,25250,56609,26667,134221
82119,10682,595,41,4890
49677,1064,27855,16496,2070700
931,23367,77501,75930,6113
16489,8828,7634,7061,27447
24711,2788,63623,46446,975579
6064,4771,42332,83943,160497
58102,8783,775,29971,203393
2105,1076,40011,30140,137238
9909,6322,16073,16647,51285
2508,51427,24377,38066,3045
74977,43347,29285,84987,197656
63539,89189,43423,10217,38213
36246,42815,65617,45549,94110
16613,5969,30323,5413,99461
1190,1019,43113,17855,71199
44163,24253,1910,68907,128952
8428,5251,82304,47717,208688
19798,4073,65661,613,322144
78943,7781,53163,1024,549761
46164,24937,11221,11475,42015
23657,10347,72195,97288,387499
22487,17702,13092,76159,113376
51742,18119,2197,1256,9860
59690,44219,29072,80853,148385
743,450,72170,70289,235215
49233,29587,60659,44307,174665
82888,46013,3283,30720,61254
824,463,91457,30150,216423
45668,32801,92593,78165,237742
80211,8083,29283,12844,418044
79822,4409,625,26904,498394
26574,25283,69313,69724,146137
407,10363,90294,91349,7134
89785,1563,79614,39385,6835781
79487,48541,65851,63831,212357
61815,59068,15577,80071,100096
11403,13334,54089,50047,89055
2037,1070,26289,21647,91258
13131,62579,44044,8075,10936
59657,33777,39065,36833,134051
80722,38941,21003,96290,243140
56142,88243,91361,90638,115791
99073,17737,14184,8777,128253
69760,91491,11221,4672,12118
61848,32995,29173,23761,99223
23633,10719,34397,49975,186021
82279,79530,909,33989,36104
15567,67102,27823,41606,16107
54099,81901,70767,68273,91842
49645,66743,58173,16525,55562
82123,86451,18282,7333,24332
81179,41428,84646,81793,326141
23523,3209,95468,92517,1377991
83281,6514,76546,15689,1179217
35938,28683,40749,9505,62965
29619,18686,11223,8609,31436
32269,29358,64090,28383,101642
33346,33701,26698,53101,78958
49529,34458,60481,1285,88781
62221,63015,2879,3995,6787
7301,4835,18613,40351,89038
1054,13677,863,653,117
78094,33451,33160,82219,269361
95909,20538,26469,73613,467366
27292,14515,25129,69325,177599
7256,7091,10723,6533,17658
76430,28941,13704,4187,47248
408,5707,10690,97393,7727
19219,81944,19938,19013,9136
68825,95407,19429,7121,19152
63187,75000,837,24514,21358
3064,1873,42019,4774,76547
7,2026,19890,17417,129
82985,87182,24547,68296,88374
4934,3601,84633,17849,140419
45059,78511,70948,51467,70256
30823,88846,87773,39572,44179
44456,7785,31483,8353,227482
217,755,89201,51714,40501
507,1087,95080,74811,79241
62211,47701,53822,45559,129611
54139,38856,38153,30363,95465
88041,45374,15210,35537,98466
31599,16570,16625,19449,68793
9803,16125,58711,75360,81507
27376,36545,21965,54968,57631
52930,7541,75795,95968,1205598
15526,10601,72149,69507,207466
16383,31577,1966,2745,2445
419,982,12995,15413,12121
7512,20093,7230,5171,4637
33267,37090,12007,5210,15442
3847,2188,34444,19937,95614
2498,1941,76545,65029,182201
42277,26286,99383,69477,271586
1112,4973,18686,5227,5347
94103,37709,95141,4953,249785
13342,30691,2169,20858,10010
46816,3757,88433,17355,1318225
31227,7897,22046,43449,258986
9983,4899,68625,96952,337407
76553,80180,86473,5501,87814
2981,12443,65971,28937,22737
15361,11262,36109,28554,88198
6923,39532,11021,28345,6894
44653,35460,137,1128,1593
64503,35390,329,4988,9691
67249,3438,22843,20095,839889
14885,5644,12726,71839,223024
77161,98197,23945,17327,32431
46209,23195,42053,36892,157274
58301,51651,862,947,2041
1821,1130,17824,14627,52295
12453,9143,6523,96612,140473
27649,25882,329,85229,91399
7064,1629,12841,51636,279598
32557,30607,74777,55830,138928
5663,2915,25961,6291,62656
98116,48743,18117,38827,114624
47764,46089,43302,32917,78989
13261,11540,92303,97354,217941
50617,41961,89750,19353,131610
961,22464,185,453,27
73105,15812,30480,41639,333434
85772,28743,7014,27547,103134
7642,70517,94281,42766,14852
4692,3313,19206,70669,127285
76611,67579,7807,43541,58211
6084,3661,24175,41889,109788
18664,85849,99571,58150,34290
7660,74293,27380,2857,3118
69392,60153,54005,68917,141802
23380,11691,38138,81641,239538
9456,15697,9089,47672,34193
1897,93475,30134,68697,2006
10103,89274,73388,98137,19412
27135,48364,15788,7115,12849
743,30693,59786,4837,1565
22973,19014,32083,84648,141036
52624,67583,430,1123,1209
15463,8102,53633,10009,121463
24721,9834,35447,16158,129726
91007,53049,17620,13599,53557
18988,48243,59905,65032,49174
14937,8968,38725,90948,215981
15085,718,86321,37359,2598486
20993,19615,86653,39813,135350
17873,174,10217,8156,1887245
73684,5295,33325,90112,1717721
48196,24921,31010,52161,160848
53597,27985,18620,18623,71328
54607,32768,22201,26206,80669
14689,29538,3471,58508,30822
21714,76399,48728,14321,17920
1143,30064,14910,30757,1736
59849,71695,4852,3935,7335
10072,5671,17331,59965,137282
14571,14422,22019,70767,93745
11902,29379,18227,11613,12089
27169,59788,61466,59409,54928
26641,81262,3254,63877,22008
13745,10807,91731,55747,187572
17058,13489,7951,91458,125711
63853,87479,94025,49707,104914
40191,22969,54744,82447,240056
68475,36716,29665,25782,103408
31871,20313,98377,61735,251215
85441,85982,7707,29383,36857
16697,15144,24998,78661,114289
14895,13694,7366,7209,15854
43373,73046,33480,20321,31946
13683,10945,63626,97775,201777
83223,91810,33484,94531,116042
46686,6337,40121,83016,907176
508,3667,94319,36364,18104
701,634,603,1918,2787
39133,23184,45151,22757,114624
10367,1653,18719,18430,232985
2339,9199,18829,12000,7839
226,629,1762,3561,1913
88152,93953,30089,42761,68352
80293,42244,47678,62283,209003
12402,7105,70188,23053,162755
97163,48704,38317,60348,196834
25822,15381,831,6737,12706
4459,24676,85903,73554,28814
77749,88318,22137,10616,28833
4682,3597,8232,6985,19807
4207,4050,3383,17252,21435
24033,13240,59121,66203,227486
29731,20769,1996,13975,22863
1930,14849,95980,24469,15656
69649,38875,30973,15042,82441
5079,10706,2825,4456,3454
65443,89560,22102,22929,32905
3428,55385,1315,256,97
19525,31553,2560,2807,3321
10439,63133,67956,881,11382
6552,1507,74470,54119,559068
13931,9532,92905,79248,251601
2988,2479,4567,2856,8947
3319,2592,48072,44209,118164
55967,6463,69887,89424,1379570
17947,27264,70682,21031,60372
96248,88601,10783,50811,66910
13403,35631,13269,40450,20207
76791,44464,5881,75,10286
77313,46501,100,27,211
21809,78074,1509,18116,5482
17695,49943,95713,35114,46353
20603,1724,11753,40715,627029
52899,65354,65092,56119,98110
18572,9699,11063,11429,43068
42807,28355,34539,98794,201290
44310,46283,77249,95991,165854
41449,37806,72271,65229,150750
41699,30626,90271,9483,135820
43487,39907,16841,23778,44263
19679,5375,5173,9286,52937
39774,38159,1536,1045,2691
53413,46370,19357,57381,88394
30553,37404,85343,4739,73582
36,509,507,31468,2261
12283,8086,71222,67315,210444
60183,97991,12427,42782,33908
59269,30580,93996,47995,275202
12525,32507,90395,37938,49447
80790,59087,38700,40859,108781
12795,22108,86263,75996,93907
92093,48312,76024,16953,177234
31859,60160,17492,18003,18797
34984,66117,9705,26339,19072
95437,64480,63292,2549,97451
26501,42630,35103,36149,44294
79109,10522,23285,59617,623293
8053,24528,3048,2713,1891
27909,16088,92590,70753,283363
11047,80718,11611,13412,3425
82008,49241,68171,55174,205424
71821,36860,39382,41991,158554
37749,19691,48096,30995,151623
18038,9787,6881,27292,62983
12510,11549,17433,16676,36947
43041,19085,33148,10655,98786
98572,73467,26999,25307,70180
1631,6891,46055,46622,21935
29825,22153,10003,9682,26503
59267,43348,851,45039,62742
50036,37671,391,83,630
8771,8158,40091,77413,126333
60120,50287,40019,44026,100479
21430,91403,17163,48637,15427
63667,40855,21931,24894,72970
55942,63533,70641,34511,92588
22009,11045,23914,58191,163608
18471,9349,47331,36820,166258
2533,1418,6027,2887,15924
704,6801,20294,30283,5235
81249,46810,537,10571,19281
37850,48239,35524,39969,59235
36218,24513,56797,21079,115062
15508,31539,73190,59821,65403
46829,42413,89369,40213,143074
4969,3070,29345,66928,155824
44008,70413,2277,91054,58332
40579,21949,68552,63587,244296
81265,66686,7898,7113,18293
56699,47324,40820,2779,52236
62252,47791,7435,9627,22225
1721,1494,83155,11664,109226
83789,43269,88802,2231,176283
291,29335,4966,9065,139
2011,13562,27155,23174,7463
13465,8417,2491,2714,8326
82899,93385,69631,39486,96865
2959,3895,840,29969,23406
4843,13452,73208,36253,39408
68217,34558,24947,79727,206625
12743,8271,64650,75437,215830
25718,14235,1932,4637,11868
65985,81212,1711,1213,2376
73757,95421,26146,22295,37443
39893,34383,47627,47496,110367
7929,4106,54191,34268,170821
3493,2265,46075,15882,95548
4464,2701,90830,77409,278052
81915,69247,81818,50981,157093
14561,11336,19310,18963,49161
618,1607,21497,13955,13634
13012,10629,4003,7514,14099
3831,69841,16493,21132,2064
44349,36110,64956,37877,126296
567,7369,37020,85669,9440
26393,60346,61363,44626,46355
5471,2806,31,54,166
42821,2686,99277,8891,1724446
54509,31594,28108,47515,130472
54957,51281,35223,6944,45189
78609,41509,37287,22955,114085
14191,7591,15350,21883,69606
14372,12519,20769,4777,29328
3563,42226,97954,71625,14309
6707,6702,11187,99527,110797
99687,92621,47996,59413,115603
19564,3567,61445,52519,625061
38981,35228,92774,85579,197354
4389,5758,27816,49427,58878
14057,10875,95159,25121,155474
31445,32212,89629,22903,109852
90147,45562,17582,19323,73018
3011,22404,42565,31394,9940
60702,32321,65457,18631,157925
91206,4091,41728,49965,2044231
22273,12052,65527,56003,224596
35809,37095,24093,25117,47504
58252,41369,67751,21366,125486
6765,8113,7207,3376,8825
25247,1510,34424,73071,1797302
68291,37918,51205,56852,194613
89013,95777,48077,22554,65643
11387,7422,20574,45257,101000
21498,13799,29066,10089,61002
58077,50794,43612,39361,94870
6221,2406,89917,36355,326492
498,1357,14312,30835,16569
14533,17403,61707,73711,113086
33817,18154,15675,92681,201844
39448,85359,1839,19673,9941
5763,42154,56720,87341,19695
4325,142,76454,84543,4903606
27479,55549,56827,38544,47178
9470,12373,10627,1353,9169
6985,8042,53525,10282,55420
1931,1041,3929,5937,18301
89107,12276,24521,37460,449897
21079,1310,16163,22861,627929
81859,88954,15193,10490,23635
20623,12803,71427,68852,225961
382,5893,28107,3871,2072
25159,14201,8117,13877,38965
26545,20011,71,1957,2691
7469,18999,86169,99067,72821
9812,19727,9214,8931,9025
49526,24315,28286,90737,242432
56227,45680,22915,32642,68384
6528,3823,16280,26439,72946
20584,86631,45167,66345,26495
4913,4796,11912,3703,15996
2065,18301,80354,99657,20311
86687,22512,85206,13183,378866
2545,1887,15330,98873,154026
16442,67243,18250,19357,9196
2095,5717,78739,22414,37067
29005,15953,5519,9676,27627
77983,48594,25103,41668,107153
71751,88742,46076,43481,72410
25098,89627,42116,79217,33976
99545,63211,30464,39223,109743
37099,18991,10517,11523,43056
51643,22823,58271,36509,214465
74460,42401,37245,35531,127801
28911,15049,3847,7544,21883
71234,49777,12007,60319,103503
32577,31181,92879,95012,196303
1085,841,81427,10299,118339
20911,4293,85898,52941,676279
40739,29739,60687,6925,92621
1049,1030,5044,839,5992
34211,93580,633,6164,2485
5782,29539,41934,75787,23043
11289,10226,52944,10015,69504
16023,6802,62673,87578,353936
66560,70403,65158,31817,91682
70487,68952,95670,53813,152810
29022,46289,15779,63362,49620
76823,44938,76038,12625,151572
53095,91463,98440,31129,75216
61070,39273,88335,11731,155604
39394,33551,22762,22073,52644
27517,40814,1185,4726,3985
5311,10044,57013,88423,76902
2516,32927,65938,59435,9580
56555,69014,269,5624,4829
22187,19774,38287,23705,69557
4206,2915,23229,42325,94586
27722,44849,18748,11107,18454
11455,9569,33223,38416,85759
21640,12287,21586,33935,97784
7569,51184,73193,43864,17310
10140,631,4951,93242,1577935
57484,41107,92749,1512,131815
661,1520,83749,96346,78317
19365,10073,23434,70541,180664
29231,50608,24836,67531,53351
23141,12088,68427,11867,153713
32422,29301,64719,97115,179072
1088,701,36652,86923,191797
14274,12743,80280,283,90243
44659,43998,24914,90839,117492
1400,1121,13217,94468,134486
61787,74483,3675,4121,6467
15353,38434,15125,15601,12274
75158,82385,12241,19520,28975
3067,18539,88082,27939,19194
21309,8666,38829,83998,302022
26499,47738,12964,35271,26775
8797,6620,66796,28719,126925
1567,16243,23419,43468,6453
36287,61508,24080,61543,50514
92123,69092,328,2817,4194
82718,91843,1501,24088,23046
8051,9355,17933,12367,26077
36631,7684,69640,88667,754678
49315,27842,293,77933,138557
36527,90707,77246,14419,36913
12988,967,76185,64607,1891010
22337,4565,34229,14522,238543
1232,645,20552,61463,156655
5594,5675,97551,1013,97157
45345,24917,76489,618,140322
950,493,3757,3531,14044
7141,33959,63412,32879,20248
23025,97606,49995,65354,27210
40655,30113,92119,76259,227324
3682,3491,11223,3070,15075
35553,25526,47818,19841,94236
50769,90346,39397,962,22679
623,43763,36655,18031,778
12032,2597,82555,99677,844288
14920,9963,1612,92219,140516
1235,25529,66943,79520,7085
4161,32315,2199,64979,8650
82328,83953,13659,12907,26052
12809,10018,1217,22553,30393
53727,33958,65069,90795,246602
31159,52517,11849,15123,16003
35038,46285,27502,50873,59331
1594,1275,21639,21452,53872
41490,23173,45776,5553,91902
253,2098,36901,78855,13959
4931,36139,32734,11591,6048
37741,28030,74947,21568,129953
1141,12473,64387,23818,8068
1882,1123,19146,27143,77575
7831,14588,4862,3287,4374
33166,11133,12189,28918,122460
82503,44677,9493,13257,42012
22271,89204,83927,8309,23028
14790,6217,30051,39155,164639
30571,42317,10108,59055,49966
16884,14143,19107,43535,74783
76481,43611,22755,38902,108128
24691,12991,38474,46659,161806
78387,10244,2129,1922,30999
69203,81263,11615,7321,16126
23940,29957,3397,19788,18528
6539,7868,2332,20215,18739
26586,7661,8011,21527,102506
364,1545,28786,85651,26961
3755,2668,69661,39805,154065
17368,12589,29537,49008,108362
84689,46850,49141,89719,251012
93879,60787,31757,12368,68147
36500,97673,59719,42352,38143
3230,2161,18764,20563,58782
55337,72007,57115,16646,56685
47739,47963,18908,5761,24554
579,767,27091,60646,66232
8591,7115,12769,32182,54276
51421,42054,66145,85122,184959
6031,3826,8369,14711,36382
29863,26641,2405,10583,14558
91769,47146,46253,28178,144879
1399,4166,4208,13367,5902
31091,21033,66185,15571,120852
20581,13527,20650,8529,44395
40899,80812,23639,1674,12811
18547,12981,53591,19148,103928
6281,3152,58052,27969,171414
33451,28077,77297,86478,195122
951,3226,3503,670,1230
71707,13226,45489,85831,711974
1349,6714,25117,30468,11168
29844,21253,8146,10427,26080
1170,881,3503,5866,12443
7643,25770,83458,59067,42271
34297,18453,19696,14173,62950
31529,4948,12770,14657,174767
8413,65960,23887,11897,4564
25883,24498,15777,36329,55051
15562,2057,40514,56427,733397
3880,3323,26739,29095,65192
3470,39863,2602,49345,4522
3110,2023,18388,28335,71828
46948,69767,97726,26709,83736
50561,19413,32548,29405,161357
42967,34761,76881,8467,105496
60673,34005,53619,77309,233607
57676,35421,1279,11612,20990
21584,17113,91605,5971,123070
19823,14286,3235,1634,6756
36718,72119,47510,9099,28821
2622,2689,40566,20431,59477
253,228,7424,26387,37519
21638,12507,50559,36358,150372
1320,1079,95073,62477,192740
46609,41147,88349,69640,178961
23464,16743,673,30911,44263
1581,4672,74075,17921,31131
85496,85261,70452,37159,107908
10515,6392,12777,25784,63434
64947,24215,10391,21654,85948
6391,3483,11014,11233,40821
59090,36501,18071,3830,35455
5443,4615,30107,9662,46904
50991,98231,62956,41519,54233
13589,38730,4853,5829,3748
8667,5525,34787,42564,121339
8915,7574,45611,23940,81865
93395,55709,48719,28945,130202
17215,392,16712,49593,2911839
81735,17048,9254,15803,120133
7549,1898,93664,24839,471328
495,302,27799,8780,59956
13698,53149,46189,38007,21700
59013,76321,37974,74683,87109
29243,22552,13424,14571,36301
21898,8943,86027,6554,226696
87245,46317,12888,29827,80460
20347,32619,44475,44168,55294
3467,472,70897,76071,1079530
31162,45747,6123,5488,7909
2134,1811,22492,24447,55311
24509,91748,98602,69481,44900
60317,37417,53299,89074,229509
56413,32549,51469,21849,127073
13360,65419,86277,88918,35779
12753,7663,62474,66173,214099
16723,9788,81055,57633,236952
4090,8937,24562,17557,19275
74970,41087,84026,3769,160197
52587,15098,35428,335,124564
53424,34301,721,12035,19867
2758,2311,80925,54592,161729
63061,60316,40465,27496,71054
1760,1613,16803,7273,26270
10317,5741,86320,87411,312208
19625,81876,96141,79478,42095
28379,43249,23834,20879,29340
32684,77773,55220,27451,34743
4383,3188,16465,28108,61281
11917,2563,24243,39313,295511
35905,46896,16084,27149,33101
99886,30125,66439,32515,328103
12919,30590,2387,2907,2236
44534,80645,84213,89537,95949
56765,6093,17183,92280,1019805
16599,13952,10228,58807,82132
13556,17771,55330,69701,95376
40390,47689,87279,51304,117372
2596,34625,88037,70235,11866
7382,4021,83213,17371,184658
14737,6650,19789,6647,58585
5991,5848,89,8,100
4339,18034,137,7760,1900
79,30674,5526,619,16
9427,11138,4133,3474,6439
90958,28331,57116,80449,441659
29604,72713,1137,2033,1290
5278,1753,18680,26373,135647
14537,12291,45631,76678,144659
74003,35042,43763,38616,173971
40147,19917,97952,14915,227508
26064,13399,46681,36632,162062
56735,39534,2519,24481,38748
82725,79207,43935,85099,134765
33335,41802,12897,49912,50087
20956,1455,94996,98173,2782165
6849,62479,9544,2193,1287
3683,3415,17635,47167,69887
25327,49391,1027,60,557
8185,28922,20489,96710,33168
67785,45077,9883,3948,20798
65430,81623,2715,14866,14093
850,489,30479,53776,146455
13758,7925,55830,5503,106476
21134,12167,35391,58319,162773
81865,24684,14737,38639,177023
38805,65839,13063,3419,9715
13334,36825,10263,51020,22190
22067,14497,65568,35653,154077
21567,17998,46322,67211,136046
2803,37393,55136,44655,7481
9525,8383,18371,5299,26894
11406,5897,4688,19447,46682
59470,44489,67656,69065,182760
7430,20111,39112,83911,45450
27281,15330,1225,12331,24124
8187,7543,1973,12607,15825
54335,29921,53930,39051,168849
38998,40649,12713,14285,25901
5931,99844,91978,73269,9816
9814,97075,8337,53747,6276
2208,497,4111,10392,64432
10373,6218,82202,94701,295114
40747,27404,77379,67288,215105
3065,7376,41474,15151,23529
29223,84199,60851,18324,27479
50209,52901,17439,10501,26518
73783,61722,453,32084,38895
1785,1406,1639,36996,49049
7237,10671,72372,48215,81782
3107,3611,65027,89131,132641
29090,17431,9339,95585,175104
10302,8251,77719,2151,99724
3891,3244,44689,63242,129458
22267,69280,9920,3087,4181
28746,23353,84631,35769,148205
15725,15818,6147,14102,20130
13779,13016,55052,39233,99812
29963,16803,24229,47893,128607
9821,82398,5822,1199,836
18226,15939,6616,3865,11985
25570,42429,99439,53674,92274
38972,38719,52681,6008,59073
11471,7741,31109,27323,86587
60619,38557,79899,13054,146140
23587,67697,94019,5710,34748
4699,2369,34040,66071,198574
66814,89491,28153,43591,53565
61225,3284,69303,9848,1475646
77752,98653,7545,6737,11256
5563,3262,18587,27693,78926
20243,10872,37370,17199,101604
13153,10086,51604,54963,138972
1186,3191,92860,90393,68110
29717,68945,4649,896,2390
16843,13180,29476,24735,69278
3513,3293,4679,9613,15247
17677,2725,54299,48196,664883
90236,51067,54637,24821,140404
10683,31339,2287,64928,22912
3143,1821,505,38892,67998
37360,33057,35247,41359,86578
21483,15749,80607,23648,142212
84919,25859,37717,37996,248635
69979,49891,23791,3928,38880
91197,45403,57967,86285,289747
28808,20661,85837,52480,192858
6234,87103,13372,2407,1130
3592,41353,37169,57491,8222
7635,81131,95843,81091,16651
47346,80191,31743,4292,21276
38913,54605,6105,27497,23946
9773,6209,87824,40827,202497
35038,50291,38848,66903,73677
84023,13137,48,83287,533003
11971,76608,19996,2737,3552
80161,25302,43,480,1657
4465,3053,4629,23524,41173
21669,88109,9377,54091,15609
17041,9606,39512,6705,81989
177,169,14823,23894,40550
16799,35996,42358,42643,39670
15667,8048,34612,4203,75561
85798,44145,5609,1938,14668
27885,72856,9917,72657,31604
2439,1294,2169,27449,55826
32629,26965,16344,9355,31098
16978,63691,15166,62099,20596
83683,47046,19357,49947,123275
7141,5781,21957,33395,68374
643,432,13139,6588,29362
27805,27276,36096,31181,68582
46896,44867,5860,40173,48115
53871,36718,75663,81185,230120
57910,34583,1631,8014,16151
67949,32899,493,1592,4307
2191,1793,17221,44609,75555
31521,35636,43046,90907,118485
5603,9383,72823,87253,95588
9923,3053,27826,15871,142026
17059,16101,81693,60251,150389
70090,37329,13483,7637,39656
23810,13223,6051,95636,183102
34069,25244,30017,34430,86977
29540,68937,78327,18979,41696
31484,23071,11964,11057,31416
92969,49733,77495,51188,240555
49249,46373,46783,43537,95922
17911,9212,36558,91031,248073
91346,48655,96609,64651,302753
23289,59909,4750,69317,28793
28079,49247,2879,16677,11150
9135,6163,5567,17343,33958
45557,22669,19051,28706,95976
