o_n,o_d,a_n,a_d,period
31259,4348,81779,76519,1138049
21213,13781,88969,47012,209315
36113,19711,16663,8003,45191
83193,11269,11259,10988,164238
68511,12925,52929,8705,326701
43408,2647,55880,29331,1397370
88356,80281,37306,3259,44645
94989,21836,26001,9961,156439
2122,961,25761,7994,74535
43355,29803,63809,41964,153870
38207,10334,60133,40445,371858
9213,4058,97183,9533,242281
8287,6287,41163,10564,68182
769,33,23703,16298,932144
49900,7303,49789,33201,567055
14454,2813,4406,681,26139
22571,17440,13306,3383,21599
65490,53353,99241,7782,131369
57445,4043,3323,911,60158
30212,24593,90013,77793,206147
83576,82839,32243,28430,61212
93987,16583,82175,75296,892494
11851,7025,45496,26491,121440
34811,2554,76281,35228,1519867
70790,46209,74653,49454,190126
6547,6359,58431,4787,65087
90267,56549,71400,19721,145453
42811,8247,29450,7759,193155
4772,2309,97925,65297,337331
77371,55116,56504,4741,85975
70438,25473,21959,15545,103707
47269,12752,40205,35338,280022
15299,5236,24901,8135,96527
12121,5784,35057,30365,137099
62654,36205,27161,2744,51752
38737,36734,15511,7394,24154
64223,6563,39203,6942,451557
48512,22839,9911,8645,39414
83527,63864,2134,1255,4433
47655,26783,89608,27813,208927
67286,5399,72495,41666,1422751
11264,8135,73366,20853,130459
10786,6875,56689,45603,160483
9736,2907,48796,3829,176249
72530,40183,74475,55142,233957
43219,38424,47141,31698,88677
92558,59385,34270,14459,75949
25717,8385,47796,22795,216504
82023,48109,83669,68031,258639
95189,10573,99664,22115,1096379
48152,32865,9321,7489,24629
56599,16323,66689,39377,367778
93169,84745,64085,26027,99070
56031,9914,85679,79384,932887
46699,3559,74381,61475,1782618
2717,2539,35631,17204,56539
9301,5901,3542,2293,9197
85387,19120,749,66,3639
40641,23303,69491,45963,201354
60663,52249,16350,11693,32559
62034,1397,90175,34421,5532704
99527,7350,78151,42947,1639799
41526,18277,9382,449,22337
72693,47353,35995,4418,62039
37273,9456,9685,3112,50442
60193,33028,73370,51641,227830
20169,13061,49268,5629,84773
9851,9567,78066,68741,151165
9313,2786,13693,10827,81965
1333,443,35543,30954,200091
18281,16391,99535,89272,210578
34486,19681,13757,2251,28050
23005,4477,70073,52520,629943
44099,22646,41917,36039,151805
49795,7937,66869,52476,748744
23645,14631,6567,3134,15677
88723,23895,85123,74616,593116
51254,20753,97787,17171,283914
2493,1802,37400,257,52097
21068,10381,26197,24185,102249
2165,1782,16429,4314,25202
46643,23425,23966,781,49276
163,41,20168,13467,133720
76923,412,85696,55683,26396352
14321,8834,82153,70942,248186
15179,4924,63468,17647,250050
29683,17465,74393,44277,201688
94201,53776,19853,18136,66547
68873,38671,24847,5256,53613
96617,44236,73829,10813,184868
1007,721,44237,29673,103228
71437,24301,79139,37122,341769
12161,10090,91631,68343,192809
27301,21031,82278,76651,206311
86258,77033,18317,2045,22800
21689,4883,81814,48761,579980
9623,9042,13547,10936,26056
13940,10481,72349,65614,183495
506,119,5356,1853,30654
15677,14047,91599,14608,118532
86164,45317,38563,28692,127876
22779,14779,41159,36969,120419
3429,2090,61645,37839,163221
71846,28407,42552,2489,113917
21190,639,50982,21007,2387241
19832,12947,99347,11131,169229
42421,28636,85539,14240,147811
13219,8943,66784,43419,162896
83132,46625,44027,39570,149052
12715,858,67337,24926,1367278
67217,64111,38906,35349,77852
90443,10416,60138,46237,923663
26570,19587,95012,60069,210369
13126,6665,23994,23345,93229
43235,13872,54679,8100,195664
95974,85371,68873,20105,100029
80616,2929,52891,15342,1878003
48414,35083,95767,81271,244309
26975,10432,12198,9971,57324
46680,16171,99747,59114,458576
29954,2053,96533,27819,1814340
13448,7189,37979,23191,114426
16073,4062,48490,38213,343076
63849,7432,80333,58329,1191258
47944,35125,68139,10613,107493
3127,1730,40128,4937,81455
65383,23171,59499,25522,239908
35429,26583,10577,3831,19202
28043,22713,41848,1381,53374
70969,40953,1793,1028,4889
79339,60942,28064,10239,49865
12179,704,78103,74620,2642064
88104,38347,35836,10511,106484
53356,5371,37712,34967,722000
38287,9738,95968,35139,515475
66187,32851,7453,292,15605
74814,46757,51739,28038,127648
29217,25669,31956,24979,64804
46112,35301,29067,13717,55886
22016,9715,84051,4993,201791
91304,76541,30424,16675,56184
36365,17064,60719,24147,180857
97641,60263,47531,16801,104234
2879,2563,55471,2129,64702
10101,3452,69344,69255,405559
70594,55761,25849,22393,61075
9855,2408,98663,68452,683936
45058,38081,17138,15175,38233
14415,3479,63519,35899,411932
74745,25241,11828,6425,54052
75422,35455,13241,7392,43892
757,444,99758,1401,172471
18878,537,89598,59897,5255431
82183,38178,86047,19106,226356
67868,44449,9518,8485,27488
30506,12697,75804,45307,290983
52903,52416,29073,13715,43186
14817,8710,79787,7978,149301
1066,997,87953,75568,174838
87173,21230,81979,77210,653649
8703,3991,61004,21097,179034
9649,1504,10969,733,75075
11409,9275,25418,5149,37600
19374,18271,75971,71758,156647
97046,72817,88066,13613,135511
82127,45445,98164,38935,247762
36294,21335,3191,828,6837
8504,8065,29384,27393,59868
77003,15566,18898,823,97557
46854,4057,30196,23739,622891
39227,31768,76682,15589,113936
16393,10347,46597,27049,116679
98338,65017,93230,79329,260995
92647,32987,71261,30920,286985
31835,29749,1054,83,1216
67781,37403,82016,55013,248321
23406,8221,11737,3896,44509
11079,10774,26155,12627,39880
94260,31963,66966,2135,203782
93892,70241,40762,5845,62301
19247,3715,37423,19876,296860
7603,1798,6033,3668,41022
59643,35150,53177,31673,143975
64990,64443,21829,11049,33157
77561,74852,62592,779,65665
49555,27004,66025,57833,227292
37429,190,83190,58043,27822158
88079,49789,44965,28597,130135
6017,5490,67376,22917,98960
68745,1072,82777,78414,10336824
42527,8158,49201,15254,335998
86737,83749,53791,24469,81053
40582,29705,37186,28561,89822
50176,49533,49456,42389,93038
83531,40210,11914,8565,42542
86287,486,4889,4588,1682596
98323,76794,25535,22426,61407
81581,29728,32821,9599,116411
28163,19327,95284,27143,178399
28909,12819,97153,16561,256444
81119,67596,29069,18425,56996
47393,10398,38503,7422,209321
96309,37868,5237,2724,20247
74779,35020,32598,22787,118265
95662,29783,56220,12679,221301
30880,7637,31699,14333,186130
11932,2003,75881,36386,668782
97056,10009,89977,64088,1493949
13985,3102,6019,3500,42915
3144,2945,31340,6871,40793
93493,87038,648,419,1147
13702,347,27257,15577,1691388
17857,3293,39031,2625,225888
17275,12816,53049,11509,87020
36251,28528,83113,74011,199660
74771,70725,92192,15433,113782
13747,3998,42671,31046,253473
18843,4132,73541,82,335740
65812,58681,64114,53065,131419
55945,55851,83703,81974,165955
62751,44350,49299,17740,94854
2909,1597,47971,19161,122284
28744,20075,17639,12222,42756
57796,32447,76544,42091,211318
91567,17769,88290,76087,847065
85602,26573,94016,807,305462
93128,79855,71667,67624,162444
1970,1193,36931,632,62028
12553,752,17327,6706,401179
6875,2942,10315,3091,31328
85058,44973,3761,1535,10017
19789,18467,84357,2228,92783
98362,39553,82253,54675,340519
19579,13952,46129,13038,83030
15751,8224,94307,10066,199900
2496,385,79587,6760,559797
16881,13892,90787,77015,203906
43967,40896,45731,4769,54293
99907,76861,79802,54215,174200
43189,13546,29815,4613,109767
79505,77937,75383,7527,84578
26684,17503,99436,73049,262961
31013,20613,79612,7957,131751
3843,3839,29358,16693,46099
15254,8763,22521,1382,41608
16555,4247,33324,10637,171362
79652,55471,85422,71167,224850
72515,53498,96481,12139,147232
94076,7303,15661,2019,227751
95517,12103,38407,35933,586692
64213,20098,10958,10599,68874
48755,7814,67999,55070,767882
57634,41413,81295,52426,186098
25735,9822,5007,539,14532
41263,31817,88427,62162,195296
75220,60327,91339,30991,152529
73527,27205,63061,22910,232354
31563,4574,73177,56697,896199
84747,53330,1159,131,2050
47013,8422,24557,19922,248289
34358,16559,98867,69929,350232
40339,37948,34657,14911,52691
20189,1591,52699,45857,1250627
92155,32873,98417,35804,376270
23709,272,99411,71555,14902327
7861,5564,3512,1761,7449
40243,3581,65165,16356,916127
60500,17977,4403,3531,26701
69002,27521,1108,11,2806
18808,6665,21464,7181,80834
89454,67903,65025,38321,136146
56474,21041,32269,14390,125232
31051,28193,92371,51526,158484
19455,16318,72847,60228,158658
74773,19272,61323,46829,419616
7597,3207,55539,47797,244791
10194,3191,35709,30448,211346
36293,5702,11703,9532,135160
78428,62361,4091,2026,7693
96113,44748,93460,74031,359750
46417,8909,59418,26977,450129
7470,1549,28812,5611,166003
9695,9572,7828,6757,14772
30722,15629,29838,24691,107188
73838,41649,28150,10219,68023
51029,3827,13075,6194,256932
95469,70948,10715,10034,27920
62293,35080,79065,23969,182961
71953,51456,17771,7598,35474
66795,52163,92318,10303,131407
32825,11761,18048,9953,78151
99979,75847,16784,10389,35819
18699,826,521,400,20850
50342,18439,94281,66584,439193
52378,10187,99287,39084,711456
75991,66621,65393,41441,121860
75488,48163,83908,39675,193697
56659,31625,31190,15599,83826
75603,75539,12928,4169,17111
63523,29310,38721,34675,159070
7563,358,39281,1179,854746
51641,7564,1409,874,15586
51061,1560,42176,37723,2615206
5017,2881,77047,20412,169716
37834,18989,49845,3899,107081
87097,19151,5755,3251,40959
85872,42703,87425,296,176400
45996,36139,80407,73487,195869
35482,2051,15643,4936,356014
48899,47723,702,163,887
97309,4150,47069,27449,1747294
10797,1934,8077,6975,84031
64205,39712,53357,38277,148150
17981,9278,89941,71017,311940
37654,29227,81425,43011,160315
65739,21554,33854,7281,125460
16665,5444,89026,77887,510949
30835,27459,52741,16691,77969
26388,3359,44197,17574,485267
83599,7879,10012,6847,178880
58701,33500,60317,59997,210822
93459,21560,38326,5651,190633
49638,40217,78041,45383,152337
71785,627,67395,48992,13325105
39679,12460,93514,34055,406245
36434,18579,59016,1775,119213
67661,35473,5696,157,11164
13672,9607,59253,11479,100661
32347,29520,25795,20817,51076
52956,33037,64582,19947,135494
49208,47913,4825,2053,7064
32079,2687,51544,42875,1127230
50461,20704,2347,655,7317
94741,10479,77399,61836,1258829
7194,2147,83275,44657,428665
94786,46523,31586,15891,96730
92596,47599,70219,19046,173650
42202,39439,64270,37217,108597
85625,58677,32423,31342,93050
1219,449,96709,6166,279298
21688,5603,67740,57203,483627
42589,16566,32515,17861,129510
97533,52844,46207,15794,114434
21300,2969,61309,56315,843850
42193,18936,77543,39747,261344
50106,18107,16414,5679,61137
93669,68917,76932,19163,130608
9589,7125,49299,27073,102783
16550,16081,82442,44591,130738
3129,695,43954,11661,250387
87281,64398,38695,30372,93609
9392,8441,84001,77284,179456
99923,22808,93781,54128,647997
42231,24772,76191,48469,212519
27219,4654,387,266,3819
86152,24151,73598,2483,271398
69663,21394,41987,25666,220291
19576,18795,9806,2693,13018
59555,8067,86089,65279,1117482
95141,63586,1297,189,2223
81261,45070,39025,37598,138151
16849,7472,63617,59898,278521
8761,821,36311,26659,671961
22278,16015,70651,56332,176642
96727,72833,76556,36801,150546
17731,13773,75685,72438,190689
12794,6005,9269,7394,35502
9021,3691,68466,42985,272392
23119,858,96691,21566,3186461
99989,43722,35706,769,83415
1367,541,90815,90637,458493
12359,1129,2080,541,28692
22221,16727,64920,2933,90140
55642,11661,76563,45733,583552
46045,31743,16255,7847,34961
77661,74495,26501,21940,50500
61095,33796,34284,1879,65374
75131,15830,42145,3667,217430
28141,3940,14410,13517,199465
13219,12853,36511,4427,42104
60872,12979,63267,20962,395037
85338,31807,7695,5623,35732
14833,7845,72069,45776,222817
7759,989,2469,1459,30817
97958,10103,25692,12449,369812
6539,1811,38772,27877,240650
87229,50377,54217,25347,137767
6028,4837,82063,1824,104543
72052,24049,3933,725,13956
87751,11907,9709,3491,97280
4997,4091,75842,12887,108379
61154,24107,84551,44913,328421
78043,12650,19263,2483,134160
18775,8881,39245,22696,130947
45130,37217,27705,19658,57433
88459,29469,64513,32983,292660
75187,5171,49159,25672,1088053
24009,16360,86668,86091,253531
97973,81578,91112,43739,161953
59769,21470,76186,619,213813
76973,12082,16490,15059,200995
27884,6981,49309,568,199222
93954,81317,4211,3053,8393
22180,1847,19541,19438,468086
23821,13845,12992,2029,25844
90411,2705,34316,33023,2250716
85987,58301,66066,24151,133059
70675,9052,80771,35132,904932
49046,24159,10093,1129,22783
24664,23235,78697,36822,122624
28916,11609,34675,4076,96522
75022,7161,38972,14393,559076
73421,24934,72015,69626,417078
59057,44825,99586,66059,218237
52783,2922,36048,10735,845088
55736,11159,22817,8212,154981
93452,12415,47733,4499,393168
14539,2540,74039,30038,595738
91260,54071,42871,6305,82998
43511,30886,3502,2761,8823
64291,2441,89741,34152,3263091
71510,39603,86288,77065,294962
20327,14337,4166,2763,9824
93593,90161,66488,1013,70070
75109,9348,85558,75285,1292336
90568,29363,42301,23050,201571
97497,82858,78256,13643,108135
53804,21225,13117,2499,39585
15579,11258,41861,40799,114386
89130,28651,73435,15888,277873
16931,1060,76790,25607,1635551
95508,46435,31344,24737,115348
19715,14543,62593,49322,151716
29931,4145,22813,5816,206730
43794,38051,35688,5065,46904
78370,9393,34453,21233,464613
76579,21505,13671,11420,89349
74118,69637,3789,2501,6694
94120,31143,74510,18209,280215
58697,56491,44368,41789,89521
22361,15408,88700,68693,228418
22147,18326,12929,4632,21222
57547,25817,84071,39688,275863
83789,14019,48504,7201,332939
33619,22586,11802,8759,30605
91730,61711,91501,58697,223261
28474,17771,27833,16054,70319
849,793,7218,3919,11923
35317,24288,34049,19501,77867
22405,4156,99839,8406,583549
73980,68593,29061,19526,52403
5471,2248,20220,4289,59648
7129,4069,69705,4106,129319
74138,73109,26327,25609,52667
4661,1982,17659,5562,54608
26823,6199,97963,31286,559259
31196,10449,65119,20389,255288
48857,18209,39494,9533,131546
77265,8134,83723,33913,1117427
93469,35693,81935,19604,265899
29065,11754,18051,5734,58815
95301,1996,29519,27096,2703139
52061,17294,27787,27055,165094
3937,1754,58748,47695,238920
89479,83922,5533,1544,7546
27573,6745,46649,30908,317047
74094,8965,37474,175,311162
22196,7373,7043,3792,32618
84637,3711,46477,11752,1328032
66123,35749,88195,61883,277591
88817,52096,97809,10706,185004
32063,29504,60681,15739,83049
77829,68429,21719,9036,34980
96030,41411,49819,12574,144686
11209,279,91679,24330,4660735
70717,32226,72493,37223,240762
26501,6061,98161,55794,673150
46552,2273,39472,35397,1533349
55216,47457,38303,30738,80329
19155,3598,62065,57476,636412
439,429,93237,11119,106789
50403,19816,33183,25037,148085
3977,1758,44771,2760,107526
13750,11399,28737,4678,40306
94591,91599,29453,17123,48098
11045,9361,99037,33138,155953
64011,54931,7678,3703,13263
36725,12552,69520,12673,240483
23012,2363,347,322,6515
3133,826,42670,36793,301402
49047,3932,15668,11489,338751
80720,66067,34541,26418,74479
46402,30341,83242,58609,216940
49574,8721,30395,5886,206237
60430,4949,39401,4427,535164
20348,5811,93532,88675,638022
25249,2545,1223,407,16171
31891,1591,15491,2327,357155
87113,55946,76025,71508,229722
45793,17098,30395,24727,147631
11299,5357,40069,15741,117714
25682,19297,15816,3727,26010
41141,231,92811,76447,30144776
5290,633,89337,26722,969908
98202,53093,22019,15511,69416
5115,1739,96173,20882,344300
78805,6191,85452,56527,1807246
37321,30784,19411,14803,41479
18640,4639,74969,68114,574923
63719,6279,26939,3688,310801
75583,8831,81979,15342,832954
41667,21062,72089,4923,152353
81985,70104,50737,48706,116296
25220,20901,56663,34190,109627
21906,12313,41531,34423,135129
43889,19763,15381,863,36074
97675,44132,25392,21221,103166
14231,2638,72631,54572,686212
29459,18972,91589,15329,166018
19109,16948,86331,54770,159092
36685,36603,33109,29242,62491
11989,1016,25050,1813,316988
89026,63929,5453,2265,10748
82093,59501,72481,38627,153295
49522,26643,10459,2718,24493
57580,34019,5325,3802,15449
14979,4061,53996,8637,231022
7609,7271,21568,9831,32859
66509,28814,60998,16109,177980
48817,20207,11855,9794,52300
89209,15874,96811,74021,960045
5033,3457,2759,456,4680
50935,48358,62209,55701,124194
22195,13263,65214,62507,213735
35902,35723,5623,319,5972
79668,56011,62737,12429,106913
49667,6379,55993,24011,622913
13631,1216,93937,35118,1446668
58693,35902,24925,2898,45485
14747,272,16293,11122,1486357
25393,14504,6173,3339,16653
55271,1138,30784,5533,1763863
7599,2420,15167,5142,63772
14238,12955,74917,70545,159868
80913,26098,5463,1685,22162
37029,26504,20133,10679,43048
67807,50304,18817,3465,30035
93432,7507,81937,44541,1574143
38452,1375,41843,13432,1545771
35475,28187,37441,10823,60743
3761,1572,13433,5729,45845
55670,47361,30996,9073,47098
55851,48355,8355,2026,11991
40015,1788,17417,15675,740591
49375,7264,47681,42705,614374
95981,65839,1549,644,3197
55328,24019,25819,16178,96741
6423,6055,48046,47563,101420
2199,511,40839,12182,228167
36256,15875,18259,16757,79971
4282,3729,31559,23594,63332
4952,217,44069,24471,1564101
82690,24143,26027,22738,167020
6080,871,7940,6477,100638
7327,7321,4622,4367,8996
95591,31588,67888,30759,298524
31085,4548,91432,56733,1012689
23023,4735,40355,19436,290722
36157,21658,96533,91100,313245
21037,14119,62960,1299,95745
78299,17122,29216,6753,164486
10465,6466,71472,38551,178068
95362,13721,89455,65022,1073627
76477,28855,20815,15338,95819
20335,1014,14827,11124,520428
61729,38347,76225,69651,234824
45953,9368,80847,47110,627670
12361,11573,5997,5347,12117
27218,3425,72847,2325,597382
92465,85778,61877,2440,69331
56011,102,18890,12343,17150898
90589,13783,15319,2992,120349
30153,7285,89910,29887,495846
95827,6675,27563,17641,648954
20245,5432,21404,5845,101557
10075,6349,52404,11243,101000
87587,12166,41634,28403,504219
49505,19783,43246,37663,202466
93999,33410,33967,14480,136306
96843,49675,58778,14439,142739
2543,1184,5188,3635,18950
30911,27260,60166,15739,86071
43027,16203,5383,1801,19077
36789,32314,94257,6442,114645
95673,81211,24440,549,29439
71410,29271,22832,9045,77768
21027,13118,35174,31563,106973
70600,42033,2316,197,4221
191,109,20207,8557,50403
75481,74811,45703,8196,54382
56139,39139,90980,73389,235763
20789,20065,9770,1051,11211
78409,68329,28297,14484,49092
9535,4829,81728,78295,315970
33725,27356,45717,446,56910
85787,27498,30941,25215,175193
90273,86116,91560,26287,123535
25907,16031,30661,18167,78908
40577,32319,24193,2773,33856
1405,624,6980,4203,25180
99877,37650,78163,111,207643
27267,10802,8923,7113,40479
36591,32218,91304,46063,156012
64379,61806,30181,10383,42253
4023,407,24679,913,252965
63165,42593,28837,12217,60882
97567,70514,89304,18385,149004
14337,668,19914,18541,825343
40029,7688,52806,25133,405804
48811,14430,5411,90,18608
69751,22207,68911,26442,299498
23652,4445,51517,49834,539292
5092,315,21725,10347,518447
32432,2371,44641,44618,1220940
19007,3546,3029,2828,31394
81261,56630,91487,87237,256459
42319,31339,21523,17095,52148
10361,1064,9090,8269,169038
23935,4506,33851,31756,348491
54344,38191,74447,73532,210567
78211,39751,3980,2183,12126
51419,27264,95254,83367,336873
27855,26414,11246,10247,22666
83491,68479,74214,49237,150514
70109,39550,67663,39040,189149
98804,11383,27337,3017,263472
48761,10229,75541,9101,403483
99119,64888,96505,33056,197910
24408,21649,35443,30035,73822
25719,12370,31877,986,68327
24639,17992,81239,24464,144755
30009,11465,44495,11213,145813
57446,24015,38430,641,93461
3033,2938,45277,37441,85393
98864,10687,71456,40595,1036568
56983,11679,99719,40279,683064
98003,4115,20572,15139,850495
85702,24505,99711,97052,688144
4141,1453,72097,6462,223890
30094,25887,46334,42493,103262
76508,23181,47632,2915,166828
21404,13881,63935,50176,175955
57809,36140,61432,22677,134539
77541,11740,761,597,8970
49504,23731,23351,2965,54897
25998,12883,1150,419,3166
19885,12109,697,80,1276
64749,47201,55944,46957,141157
55091,44797,31271,23571,67444
22301,14613,6452,4685,16996
9745,234,37897,20570,2434875
50395,34669,3339,1934,7665
15328,787,21028,8789,580730
80738,8635,9818,4961,138185
82943,81100,97012,45793,146050
67722,12091,65880,27461,522805
40863,12200,74992,22559,326740
4412,4043,43933,11346,60324
88450,42033,74849,74271,313793
24111,14740,70603,26800,159328
6411,5699,54041,52830,120223
73223,57774,37917,16715,69241
90658,3135,15989,8930,720608
64766,5351,67993,43923,1354579
21001,14813,52031,24959,109152
24176,609,57387,7781,2587031
8083,4500,47252,34251,146398
93321,635,93213,38062,19292463
25261,20759,46375,18814,79327
19339,12462,43997,4033,74535
38464,3043,43759,37456,1026570
67006,6967,63843,4991,662020
23005,22634,99631,5773,107132
65183,19336,23756,23455,159152
80566,63207,49894,25253,95785
9163,7185,21606,21517,54995
75515,42678,42246,9071,90801
3246,1217,59993,1540,164122
47920,33337,38077,7944,66153
72071,50632,69638,12885,117465
1143,119,76397,4195,774090
17150,14011,24155,3212,33498
83549,41196,29031,8900,76927
24051,18011,98717,57127,208106
77453,60139,25716,24277,64386
9923,2381,12365,5646,75063
22409,8706,66311,7536,190080
6441,386,29499,2194,528846
62929,52579,97571,81055,213788
66485,10363,66532,63437,833831
27310,11061,16592,10409,66667
32525,2542,3958,1527,70181
58433,53687,22883,11813,37763
24694,4587,36953,34248,383309
81561,1759,32683,10383,1996877
28447,27940,86702,51449,140658
74311,46841,23060,6437,46795
49231,18763,4090,2267,16680
4394,835,66791,36667,544424
7079,1781,85800,78269,652131
28897,6110,73748,27335,478068
92998,37685,20964,7435,70082
20079,8080,84889,10719,237588
18869,5603,21,1,74
36589,20952,47109,20216,117571
36209,12414,82319,3393,250004
63841,5896,22126,11691,366165
643,302,85729,42447,272904
72519,13219,71621,11818,457744
47491,43308,88912,20069,119507
11303,5857,84749,49453,258986
11461,9135,98001,67936,208189
62443,49952,91123,52775,179881
75928,35429,99569,74674,373421
39361,25341,10418,447,16876
54599,32743,82025,55889,229971
38795,31447,63448,53595,144392
34386,33749,97489,64602,165151
13273,6034,4781,1276,13323
47512,20951,18998,9685,65047
29683,26153,92986,87473,204816
58483,53120,24308,12721,40768
73268,11093,31597,16722,319141
63041,36211,79033,31838,193019
43715,26051,53137,12360,109907
7108,4175,20191,16565,62578
49199,3766,49144,26109,983104
91967,75273,79465,78994,193602
96655,33532,47578,5911,154181
95668,39681,5125,2849,19225
9195,7747,25986,395,31312
48764,32797,66961,26933,139606
78103,3239,58622,5445,1544867
77729,33903,668,435,2529
74966,19031,15803,8294,94922
72062,48063,844,247,1636
4171,1630,61823,33268,243328
13534,1231,3755,1711,60095
27307,13809,9358,8495,35304
15360,9523,69782,49763,192818
65723,57580,69092,37563,121739
8592,1747,62331,26410,436441
24307,4148,80231,44950,733552
22585,9482,46157,20350,158412
51401,26770,2661,701,6455
4874,1667,99526,52961,445844
39423,9887,13148,5807,75580
80360,75889,86636,355,92116
39003,13861,11587,7366,53331
76475,53874,86047,25267,158012
83912,73173,16495,6694,26592
61771,1143,77153,38282,6238439
58729,15014,22092,1879,93765
87820,50763,4366,2675,12181
91573,57187,91639,33838,200925
30133,17051,68311,67059,239230
62603,21405,7367,4384,34368
85912,75497,20747,6995,31569
48123,36680,9379,4431,18118
79947,17519,24177,15430,180744
30611,20644,81441,61640,212162
17481,5059,91187,51784,494025
75248,34189,71168,261,157211
21724,8673,53983,8788,157228
89055,41572,51677,8530,128974
49309,26665,93223,58729,280990
49136,32353,92035,3998,145849
34511,27080,26191,14972,52459
45040,39099,22814,14559,43052
5945,3129,63363,16955,152601
88521,27394,60217,23822,271564
3873,2248,24061,1398,43862
14225,3187,81785,69117,673542
676,285,1363,545,4525
93679,19810,21516,15293,174065
26379,18110,64693,29513,137220
2562,373,23710,4561,194183
62781,20992,48596,6949,166119
96981,32444,10852,8449,57694
43895,28539,17531,12266,45829
6607,2674,72357,44911,289749
9465,719,63254,13579,1011439
86159,67047,35220,1747,47504
41883,2200,40945,26617,1286227
72507,48265,96572,80671,266267
23105,12179,13931,12916,50932
63233,59514,29507,24086,56942
12879,5692,83459,20438,235083
96389,36152,42883,16814,159165
50999,9039,6406,1843,46542
8897,6194,86985,34121,173956
38239,205,18058,8691,4989537
35114,24753,25599,24590,71197
46718,41303,78340,31177,123875
9545,8287,37619,17790,63820
43748,16621,91882,51237,376702
17021,3599,56723,24387,383600
41396,12861,54900,27497,265213
90927,63136,2558,2185,6830
94585,21248,14653,12709,121801
57303,18151,28784,3849,103023
749,492,13927,2249,24625
7456,4175,93076,7349,179346
8905,7206,5125,2257,9123
74149,33963,81603,63925,317721
91096,14807,52669,52198,645165
64994,3187,43298,27373,1441227
22273,20650,16158,13177,31640
17409,14407,23716,12181,43377
43333,12555,71889,52414,429026
66655,17079,66845,8472,293944
68734,50845,61799,37753,134577
92403,67979,92521,16339,147972
24173,21894,87209,12446,110028
46304,32161,86769,29258,167051
13785,4594,98831,7550,319212
26749,22029,98367,24466,149152
89398,84107,43337,40151,88740
59035,2829,32274,15437,995624
69877,15200,35097,24841,275545
33181,5907,77861,9965,493339
66989,12972,80206,32157,580256
35697,20960,81249,64166,247657
355,166,77563,73639,323353
94051,20462,44911,29286,341037
2351,2184,55480,473,60232
13008,2021,75574,73127,957101
27428,14087,59017,35209,183462
73551,32332,24349,18813,98188
44075,23612,10914,4027,27889
7345,4673,88133,40968,202921
32309,17412,66753,2050,127668
86665,42782,76329,34165,223832
27317,15026,34945,27441,113417
27019,10847,6147,5030,27841
78845,52566,91001,64654,233471
58615,50561,71835,57221,149613
34269,20668,61239,39941,167763
2577,1376,33644,7217,76526
74983,13923,42721,30517,394427
40824,37045,90582,9259,110026
44045,8388,13802,4387,95509
94987,50949,45386,9419,102176
44109,13670,13447,12725,84449
97500,61441,5148,229,8533
80277,68528,19293,10405,34789
22819,20229,37029,17870,61927
92267,6495,84198,25331,1555953
37890,9833,76819,11062,338636
91624,72939,4515,2542,8865
